date,mean_risk_z,high_intensity,low_intensity,dispersion,total_assets,mean_risk_z_smooth,high_intensity_smooth,portfolio_risk_regime_raw,portfolio_risk_regime
2024-08-05,0.27259518219760664,0.20170454545454544,0.05965909090909091,1.086015567765676,352,0.11994823740833818,0.13780622293651365,NORMAL,NORMAL
2024-08-06,0.36752548915113464,0.2607449856733524,0.09742120343839542,1.3398495613426418,349,0.19310904845889182,0.17203614492667546,NORMAL,NORMAL
2024-08-07,0.4510305460887269,0.28405797101449276,0.05217391304347826,1.2252816366405164,345,0.2732436999145077,0.21328577947539534,HIGH,NORMAL
2024-08-08,0.2148958565438891,0.1810344827586207,0.05747126436781609,1.026106903102622,348,0.294703879907637,0.22166658907059772,HIGH,HIGH
2024-08-09,-0.05203060680888801,0.10951008645533142,0.069164265129683,0.8983312934226092,347,0.2508032934344938,0.20741041427126855,HIGH,HIGH
2024-08-12,0.0751524487476532,0.09883720930232558,0.03197674418604651,0.7950719441591627,344,0.21131474674450318,0.18683694704082457,NORMAL,HIGH
2024-08-13,0.09832474334437663,0.09169054441260745,0.03151862464183381,0.7282636882981582,349,0.15747459758315158,0.1530260587886756,NORMAL,NORMAL
2024-08-14,0.0988562291899408,0.10227272727272728,0.019886363636363636,0.7441607121726108,352,0.08703973420339432,0.11666901004032249,NORMAL,NORMAL
2024-08-15,-0.014280469479186394,0.08115942028985507,0.057971014492753624,0.7290818399328478,345,0.041204468998779234,0.09669399754656936,NORMAL,NORMAL
2024-08-16,-0.09889189664108651,0.07541899441340782,0.055865921787709494,0.6923948921312374,358,0.03183221103233953,0.08987577913818465,NORMAL,NORMAL
2024-08-19,0.2483147140066569,0.16147308781869688,0.042492917847025496,0.8743389424422806,353,0.06646466408414027,0.10240295484145889,NORMAL,NORMAL
2024-08-20,0.29664985522999987,0.15954415954415954,0.03133903133903134,0.8338786141116541,351,0.1061296864612649,0.11597367786776931,NORMAL,NORMAL
2024-08-21,0.06255019609906297,0.09550561797752809,0.0449438202247191,0.7789480515412711,356,0.09886847984308936,0.11462025600872947,NORMAL,NORMAL
2024-08-22,0.02046436473238462,0.08635097493036212,0.055710306406685235,0.7255584813489889,359,0.10581744668540354,0.11565856693683088,NORMAL,NORMAL
2024-08-23,-0.01949064995020883,0.06685236768802229,0.03064066852367688,0.6341473109692599,359,0.12169769602357909,0.11394524159175376,NORMAL,NORMAL
2024-08-26,-0.07289854879608408,0.049132947976878616,0.03757225433526012,0.5866401020711867,346,0.05745504346303089,0.09147721362339013,NORMAL,NORMAL
2024-08-27,-0.14559067103374126,0.045584045584045586,0.037037037037037035,0.6184393464521051,351,-0.030993061789717342,0.06868519083136734,NORMAL,NORMAL
2024-08-28,-0.16442421870371035,0.04297994269340974,0.034383954154727794,0.6092035045842081,349,-0.076387944750272,0.058180055774543674,NORMAL,NORMAL
2024-08-29,-0.23208672481247197,0.03977272727272727,0.09943181818181818,0.6622754134090715,352,-0.1268981626592433,0.0488644062430167,NORMAL,NORMAL
2024-08-30,-0.2754214873501012,0.03672316384180791,0.11864406779661017,0.6936815938299282,354,-0.1780843301392218,0.04283856547377383,NORMAL,NORMAL
2024-09-04,-0.32123482349476656,0.03672316384180791,0.1016949152542373,0.6179487843484786,354,-0.2277515850789583,0.04035660864675968,NORMAL,NORMAL
2024-09-05,0.07949575710850804,0.1534090909090909,0.09943181818181818,1.019879918091622,352,-0.18273429945050843,0.06192161771176875,NORMAL,NORMAL
2024-09-06,-0.3436930171730048,0.06395348837209303,0.16279069767441862,0.7503753647734956,344,-0.21858805914436732,0.0661163268475054,NORMAL,NORMAL
2024-09-09,0.0994748774869143,0.09195402298850575,0.03735632183908046,0.7839276173464158,348,-0.15227573868449007,0.0765525859906611,NORMAL,NORMAL
2024-09-10,0.13889806509647978,0.1048158640226629,0.028328611898016998,0.7327139799951357,353,-0.06941182819517387,0.09017112602683211,NORMAL,NORMAL
2024-09-11,-0.023831774196655067,0.07780979827089338,0.069164265129683,0.8383280029840299,347,-0.009931218335551575,0.09838845291264918,NORMAL,NORMAL
2024-09-12,-0.07663783014082479,0.0700280112044818,0.058823529411764705,0.722866884712342,357,-0.04115793578541814,0.08171223697172737,NORMAL,NORMAL
2024-09-13,-0.005753486500320978,0.09144542772861357,0.032448377581120944,0.75753451440657,339,0.02642997034911863,0.08721062484303148,NORMAL,NORMAL
