Asset,Expected Return,Standard Deviation,Sharpe Ratio,Min Weight,Max Weight
NHH,0.1285,0.3001,0.4281,0.0,1.0
GTA,0.1309,0.3132,0.4181,0.0,1.0
TMT,0.1701,0.422,0.403,0.0,1.0
TDC,0.1147,0.2938,0.3904,0.0,1.0
VRC,0.1667,0.4325,0.3855,0.0,1.0
HDC,0.1694,0.4473,0.3787,0.0,1.0
NAV,0.1184,0.3137,0.3773,0.0,1.0
HSG,0.1133,0.3103,0.365,0.0,1.0
NVL,0.1609,0.4525,0.3555,0.0,1.0
CSM,0.116,0.3392,0.342,0.0,1.0
VPL,0.1434,0.4207,0.3409,0.0,1.0
PIT,0.1532,0.4499,0.3405,0.0,1.0
HAS,0.1284,0.3803,0.3378,0.0,1.0
SKG,0.0711,0.2125,0.3348,0.0,1.0
SFG,0.109,0.3289,0.3315,0.0,1.0
FMC,0.0776,0.2374,0.3267,0.0,1.0
TSC,0.0959,0.3016,0.3181,0.0,1.0
GSP,0.0383,0.1273,0.3009,0.0,1.0
DXV,0.1059,0.3682,0.2877,0.0,1.0
DBT,0.0727,0.2539,0.2864,0.0,1.0
LHG,0.0666,0.2349,0.2835,0.0,1.0
HVN,0.1089,0.3938,0.2765,0.0,1.0
VOS,0.0962,0.3511,0.274,0.0,1.0
TCL,0.0303,0.1145,0.2645,0.0,1.0
YEG,0.1022,0.412,0.248,0.0,1.0
CMG,0.0798,0.3222,0.2476,0.0,1.0
SHA,0.0504,0.2039,0.2473,0.0,1.0
HNG,0.0871,0.3604,0.2417,0.0,1.0
NLG,0.095,0.3968,0.2393,0.0,1.0
ASM,0.0692,0.2987,0.2318,0.0,1.0
SSC,0.0606,0.2832,0.2139,0.0,1.0
DMC,0.0331,0.1549,0.2135,0.0,1.0
ASP,0.0573,0.2705,0.212,0.0,1.0
PJT,0.0697,0.3437,0.2028,0.0,1.0
FDC,0.0563,0.2806,0.2008,0.0,1.0
HMC,0.0359,0.1838,0.1954,0.0,1.0
SHI,0.066,0.3382,0.1951,0.0,1.0
SFI,0.0471,0.2439,0.193,0.0,1.0
HVH,0.0587,0.3058,0.192,0.0,1.0
VAF,0.0854,0.4648,0.1838,0.0,1.0
CLW,0.0704,0.3874,0.1817,0.0,1.0
TCD,0.0846,0.4679,0.1808,0.0,1.0
APH,0.0452,0.2704,0.1673,0.0,1.0
VIP,0.0343,0.2128,0.1611,0.0,1.0
DRH,0.0826,0.5254,0.1572,0.0,1.0
DBD,0.0181,0.1387,0.1307,0.0,1.0
DTT,0.0466,0.3783,0.1231,0.0,1.0
BKG,0.0289,0.2813,0.1026,0.0,1.0
REE,0.0197,0.2079,0.0948,0.0,1.0
TV2,0.0279,0.3135,0.0889,0.0,1.0
NHT,0.0269,0.3068,0.0877,0.0,1.0
DRC,0.0197,0.2311,0.0851,0.0,1.0
TMS,0.0145,0.1734,0.0837,0.0,1.0
KOS,0.011,0.1353,0.0811,0.0,1.0
ADG,0.029,0.3674,0.0788,0.0,1.0
MCM,0.0101,0.1304,0.0775,0.0,1.0
VMD,0.0185,0.2875,0.0643,0.0,1.0
AAM,0.0156,0.2721,0.0574,0.0,1.0
GEE,0.0684,1.3763,0.0497,0.0,1.0
SBA,0.005,0.1237,0.0406,0.0,1.0
CVT,0.0105,0.2604,0.0404,0.0,1.0
CTD,0.0137,0.3737,0.0365,0.0,1.0
SC5,0.0133,0.3711,0.0358,0.0,1.0
BMI,0.009,0.2629,0.0344,0.0,1.0
TRA,0.004,0.1511,0.0268,0.0,1.0
BRC,0.0045,0.2273,0.0198,0.0,1.0
PGC,0.0017,0.1191,0.014,0.0,1.0
SZC,-0.0033,0.3156,-0.0106,0.0,1.0
SMA,-0.0062,0.4909,-0.0127,0.0,1.0
GDT,-0.0043,0.2008,-0.0216,0.0,1.0
COM,-0.0093,0.4178,-0.0223,0.0,1.0
LSS,-0.0048,0.2014,-0.0238,0.0,1.0
TCR,-0.0085,0.3369,-0.0252,0.0,1.0
ASG,-0.0086,0.1879,-0.0456,0.0,1.0
YBM,-0.0198,0.3661,-0.054,0.0,1.0
D2D,-0.012,0.2048,-0.0584,0.0,1.0
PHC,-0.016,0.2393,-0.0668,0.0,1.0
HTN,-0.032,0.4033,-0.0793,0.0,1.0
SBV,-0.0316,0.3928,-0.0806,0.0,1.0
NHA,-0.0381,0.4025,-0.0947,0.0,1.0
NVT,-0.0396,0.4064,-0.0975,0.0,1.0
SHP,-0.0099,0.0872,-0.1135,0.0,1.0
HRC,-0.059,0.5107,-0.1155,0.0,1.0
SIP,-0.0387,0.3226,-0.1201,0.0,1.0
CNG,-0.0221,0.1815,-0.1219,0.0,1.0
HHS,-0.0601,0.4454,-0.1348,0.0,1.0
PGI,-0.0387,0.2873,-0.1348,0.0,1.0
AGG,-0.0442,0.3261,-0.1355,0.0,1.0
BTT,-0.0407,0.2986,-0.1364,0.0,1.0
OGC,-0.0523,0.3629,-0.1442,0.0,1.0
TCM,-0.0374,0.2547,-0.1468,0.0,1.0
SSB,-0.0505,0.2938,-0.1718,0.0,1.0
GEG,-0.0509,0.286,-0.178,0.0,1.0
SVT,-0.0304,0.1679,-0.1812,0.0,1.0
OPC,-0.0436,0.2339,-0.1864,0.0,1.0
VHM,-0.2717,1.3214,-0.2056,0.0,1.0
CCL,-0.0606,0.2825,-0.2144,0.0,1.0
CLL,-0.0257,0.1151,-0.2235,0.0,1.0
VNG,-0.0782,0.3194,-0.2449,0.0,1.0
TDG,-0.0733,0.2872,-0.2554,0.0,1.0
BHN,-0.0653,0.2547,-0.2564,0.0,1.0
VTO,-0.0511,0.187,-0.273,0.0,1.0
CTF,-0.0537,0.1948,-0.2757,0.0,1.0
HQC,-0.1036,0.3614,-0.2866,0.0,1.0
HTL,-0.0735,0.2464,-0.2984,0.0,1.0
TDH,-0.1311,0.4369,-0.3002,0.0,1.0
VJC,-0.4005,1.2985,-0.3084,0.0,1.0
FPT,-0.0899,0.2756,-0.3262,0.0,1.0
HNA,-0.1015,0.3101,-0.3272,0.0,1.0
SFC,-0.1541,0.4657,-0.3309,0.0,1.0
QNP,-0.1002,0.2869,-0.3493,0.0,1.0
FCM,-0.0963,0.2458,-0.3919,0.0,1.0
TDW,-0.1291,0.3243,-0.398,0.0,1.0
LEC,-0.3194,0.7711,-0.4143,0.0,1.0
TDP,-0.1762,0.4234,-0.4161,0.0,1.0
SRF,-0.12,0.2797,-0.4289,0.0,1.0
NCT,-0.055,0.1253,-0.439,0.0,1.0
GIL,-0.1686,0.3797,-0.4441,0.0,1.0
CMX,-0.1206,0.2629,-0.4587,0.0,1.0
S4A,-0.1405,0.304,-0.4622,0.0,1.0
VNS,-0.0796,0.1678,-0.4746,0.0,1.0
BWE,-0.1064,0.2175,-0.4893,0.0,1.0
PGD,-0.1277,0.2518,-0.5071,0.0,1.0
DTA,-0.2168,0.4163,-0.5208,0.0,1.0
TBC,-0.1052,0.1865,-0.564,0.0,1.0
DC4,-0.2015,0.3547,-0.5682,0.0,1.0
ACC,-0.091,0.1575,-0.5781,0.0,1.0
RAL,-0.0643,0.1096,-0.5864,0.0,1.0
RYG,-0.2035,0.3469,-0.5865,0.0,1.0
TLH,-0.1736,0.295,-0.5885,0.0,1.0
KMR,-0.0547,0.0902,-0.6058,0.0,1.0
VCA,-0.2205,0.3621,-0.609,0.0,1.0
NSC,-0.0865,0.1362,-0.6353,0.0,1.0
ABS,-0.2176,0.3406,-0.6388,0.0,1.0
STK,-0.139,0.211,-0.6586,0.0,1.0
C32,-0.4647,0.6887,-0.6747,0.0,1.0
FIR,-0.1983,0.2938,-0.6752,0.0,1.0
CSV,-0.206,0.3028,-0.6803,0.0,1.0
NO1,-0.1913,0.2668,-0.7172,0.0,1.0
TMP,-0.1594,0.2212,-0.7205,0.0,1.0
NBB,-0.2401,0.3285,-0.7308,0.0,1.0
BMP,-0.9586,1.2629,-0.759,0.0,1.0
SCS,-0.1577,0.2076,-0.7593,0.0,1.0
KDC,-0.1543,0.1959,-0.7879,0.0,1.0
VSH,-0.1657,0.2044,-0.8106,0.0,1.0
BCG,-0.3149,0.3875,-0.8127,0.0,1.0
PDN,-1.0452,1.2414,-0.842,0.0,1.0
ILB,-0.1963,0.2254,-0.8708,0.0,1.0
SVI,-0.5109,0.579,-0.8823,0.0,1.0
PDV,-0.1413,0.1564,-0.9035,0.0,1.0
VPH,-0.2599,0.2874,-0.9045,0.0,1.0
BMC,-0.253,0.2752,-0.9194,0.0,1.0
PNJ,-1.1526,1.2536,-0.9195,0.0,1.0
SGT,-0.207,0.221,-0.9368,0.0,1.0
VCF,-1.2384,1.2587,-0.9839,0.0,1.0
DSN,-0.1057,0.1046,-1.0107,0.0,1.0
SAV,-0.302,0.2929,-1.031,0.0,1.0
CKG,-0.3324,0.317,-1.0487,0.0,1.0
HAX,-0.362,0.3346,-1.0818,0.0,1.0
FRT,-1.3919,1.2586,-1.106,0.0,1.0
DHM,-0.2879,0.2474,-1.1639,0.0,1.0
DHG,-1.4267,1.2213,-1.1682,0.0,1.0
VTP,-1.4833,1.2677,-1.1701,0.0,1.0
SGN,-0.1621,0.1381,-1.1738,0.0,1.0
DGC,-0.5203,0.364,-1.4295,0.0,1.0
CHP,-0.0983,0.0674,-1.4587,0.0,1.0
ADP,-0.2588,0.1732,-1.4942,0.0,1.0
TCO,-0.4837,0.2967,-1.6304,0.0,1.0
SGR,-0.704,0.4296,-1.6386,0.0,1.0
DVP,-0.1623,0.0974,-1.6661,0.0,1.0
TNH,-0.3999,0.2345,-1.7053,0.0,1.0
PPC,-0.2121,0.1216,-1.7447,0.0,1.0
ST8,-0.5155,0.2887,-1.7856,0.0,1.0
VFG,-0.4312,0.1732,-2.4894,0.0,1.0
DRL,-0.2162,0.0864,-2.5021,0.0,1.0
VPG,-1.1544,0.4365,-2.6445,0.0,1.0
BTP,-0.4298,0.1346,-3.1934,0.0,1.0
KPF,0.0,0.0,,0.0,1.0
PSH,0.0,0.0,,0.0,1.0
RDP,0.0,0.0,,0.0,1.0
