date,symbol,allocation_weight,risk_regime,risk_profile
2020-04-10,ACB,0.2503318962756831,HIGH,balanced
2020-04-10,CTD,0.2461491905606284,HIGH,balanced
2020-04-10,FPT,0.22300417407973971,HIGH,balanced
2020-04-10,GEX,0.2,HIGH,balanced
2020-04-13,VNM,0.0805147390839488,HIGH,balanced
2020-04-13,ACB,0.2503318962756831,HIGH,balanced
2020-04-13,CTD,0.2461491905606284,HIGH,balanced
2020-04-13,FPT,0.22300417407973971,HIGH,balanced
2020-04-13,GEX,0.2,HIGH,balanced
2020-04-14,VNM,0.0805147390839488,LOW,balanced
2020-04-14,ACB,0.2503318962756831,LOW,balanced
2020-04-14,CTD,0.2461491905606284,LOW,balanced
2020-04-14,FPT,0.22300417407973971,LOW,balanced
2020-04-14,GEX,0.2,LOW,balanced
2020-04-15,VNM,0.0805147390839488,LOW,balanced
2020-04-15,ACB,0.2503318962756831,LOW,balanced
2020-04-15,CTD,0.2461491905606284,LOW,balanced
2020-04-15,FPT,0.22300417407973971,LOW,balanced
2020-04-15,GEX,0.2,LOW,balanced
2020-04-16,VNM,0.0805147390839488,LOW,balanced
2020-04-16,ACB,0.2503318962756831,LOW,balanced
2020-04-16,CTD,0.2461491905606284,LOW,balanced
2020-04-16,FPT,0.22300417407973971,LOW,balanced
2020-04-16,GEX,0.2,LOW,balanced
2020-04-17,VNM,0.0805147390839488,LOW,balanced
2020-04-17,ACB,0.2503318962756831,LOW,balanced
2020-04-17,CTD,0.2461491905606284,LOW,balanced
2020-04-17,FPT,0.22300417407973971,LOW,balanced
2020-04-17,GEX,0.2,LOW,balanced
2020-04-20,VNM,0.0805147390839488,LOW,balanced
2020-04-20,ACB,0.2503318962756831,LOW,balanced
2020-04-20,CTD,0.2461491905606284,LOW,balanced
2020-04-20,FPT,0.22300417407973971,LOW,balanced
2020-04-20,GEX,0.2,LOW,balanced
2020-04-21,VNM,0.0805147390839488,LOW,balanced
2020-04-21,ACB,0.2503318962756831,LOW,balanced
2020-04-21,CTD,0.2461491905606284,LOW,balanced
2020-04-21,FPT,0.22300417407973971,LOW,balanced
2020-04-21,GEX,0.2,LOW,balanced
2020-04-22,VNM,0.0805147390839488,LOW,balanced
2020-04-22,ACB,0.2503318962756831,LOW,balanced
2020-04-22,CTD,0.2461491905606284,LOW,balanced
2020-04-22,FPT,0.22300417407973971,LOW,balanced
2020-04-22,GEX,0.2,LOW,balanced
2020-04-23,VNM,0.0805147390839488,LOW,balanced
2020-04-23,ACB,0.2503318962756831,LOW,balanced
2020-04-23,CTD,0.2461491905606284,LOW,balanced
2020-04-23,FPT,0.22300417407973971,LOW,balanced
2020-04-23,GEX,0.2,LOW,balanced
2020-04-24,VNM,0.0805147390839488,LOW,balanced
2020-04-24,ACB,0.2503318962756831,LOW,balanced
2020-04-24,CTD,0.2461491905606284,LOW,balanced
2020-04-24,FPT,0.22300417407973971,LOW,balanced
2020-04-24,GEX,0.2,LOW,balanced
2020-04-27,VNM,0.0805147390839488,LOW,balanced
